timestamp,id,dist,response,button1,button2,stim1,place,F0_step,VOT_step,trial_type,subjectGroup,frame,word_pair,button1_voice,button2_voice,response_bin,response_num
352740,5cf8cc7e95c070001721db8d,canonical,2,pale,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiced,voiced,voiced,0
353955,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
355435,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
357707,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
359234,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
361332,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
362634,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiceless,1
363855,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
365020,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
366952,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
368205,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
369467,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
370728,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
372054,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
373274,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
374488,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
375806,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
377237,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
378635,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
379848,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
381181,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
383793,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
385709,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
387361,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiceless,1
389083,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
391314,5cf8cc7e95c070001721db8d,canonical,2,pale,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiced,voiced,voiced,0
393982,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiceless,1
395494,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
397046,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
398324,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiced,voiced,voiced,0
399982,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
401291,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
402497,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
403896,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
405261,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
406474,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiced,0
407680,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
409230,5cf8cc7e95c070001721db8d,canonical,2,pale,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiced,voiced,voiced,0
410510,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
411834,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiced,voiced,voiced,0
413298,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiceless,1
414648,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiced,voiced,voiced,0
